"ICD10","ICD10_Desc_x","ICD9","ICD9_Desc_x","APPROX_x","NOMAP_x","COMBO_x","SCENARIO_x","CHOICE_x","ICD10_Desc_y","ICD9_Desc_y","APPROX_y","NOMAP_y","COMBO_y","SCENARIO_y","CHOICE_y"
"C81.41","Lymp-rich class Hodgkin lymph, nodes of head, face, and neck","201.41","Hodg lymph-histio head","1","0","0","0","0","Lymp-rich Hodgkin lymphoma, nodes of head, face, and neck","Hodg lymph-histio head","1","0","0","0","0"
"C81.42","Lymp-rich classical Hodgkin lymphoma, intrathorac nodes","201.42","Hodg lymph-histio thorax","1","0","0","0","0","Lymphocyte-rich Hodgkin lymphoma, intrathoracic lymph nodes","Hodg lymph-histio thorax","1","0","0","0","0"
"C81.43","Lymp-rich classical Hodgkin lymphoma, intra-abd lymph nodes","201.43","Hodg lymph-histio abdom","1","0","0","0","0","Lymphocyte-rich Hodgkin lymphoma, intra-abd lymph nodes","Hodg lymph-histio abdom","1","0","0","0","0"
"C81.44","Lymp-rich class Hdgkn lymph, nodes of axilla and upper limb","201.44","Hodg lymph-histio axilla","1","0","0","0","0","Lymp-rich Hodgkin lymphoma, nodes of axilla and upper limb","Hodg lymph-histio axilla","1","0","0","0","0"
"C81.45","Lymp-rich class Hdgkn lymph, nodes of ing rgn and lower limb","201.45","Hodg lymph-histio inguin","1","0","0","0","0","Lymp-rich Hodgkin lymph, nodes of ing region and lower limb","Hodg lymph-histio inguin","1","0","0","0","0"
"C81.46","Lymp-rich classical Hodgkin lymphoma, intrapelv lymph nodes","201.46","Hodg lymph-histio pelvic","1","0","0","0","0","Lymphocyte-rich Hodgkin lymphoma, intrapelvic lymph nodes","Hodg lymph-histio pelvic","1","0","0","0","0"
"C81.47","Lymphocyte-rich classical Hodgkin lymphoma, spleen","201.47","Hodg lymph-histio spleen","1","0","0","0","0","Lymphocyte-rich Hodgkin lymphoma, spleen","Hodg lymph-histio spleen","1","0","0","0","0"
"C81.48","Lymp-rich classical Hodgkin lymphoma, lymph nodes mult site","201.48","Hodg lymph-histio mult","1","0","0","0","0","Lymphocyte-rich Hodgkin lymphoma, lymph nodes mult site","Hodg lymph-histio mult","1","0","0","0","0"
"C81.10","Nodular sclerosis classical Hodgkin lymphoma, unsp site","201.50","Ndr sclr unsp xtrndl org","1","0","0","0","0","Nodular sclerosis Hodgkin lymphoma, unspecified site","Ndr sclr unsp xtrndl org","1","0","0","0","0"
"C81.19","Nodlr scler class Hdgkn lymph, extrnod and solid organ sites","201.50","Ndr sclr unsp xtrndl org","1","0","0","0","0","Nodular scler Hodgkin lymph, extrnod and solid organ sites","Ndr sclr unsp xtrndl org","1","0","0","0","0"
"C81.11","Nodlr scler class Hdgkn lymph, nodes of head, face, and neck","201.51","Hodg nodul sclero head","0","0","0","0","0","Nodular scler Hodgkin lymph, nodes of head, face, and neck","Hodg nodul sclero head","0","0","0","0","0"
"C81.12","Nodular sclerosis class Hodgkin lymphoma, intrathorac nodes","201.52","Hodg nodul sclero thorax","0","0","0","0","0","Nodular sclerosis Hodgkin lymphoma, intrathorac lymph nodes","Hodg nodul sclero thorax","0","0","0","0","0"
"C81.13","Nodular sclerosis class Hodgkin lymphoma, intra-abd nodes","201.53","Hodg nodul sclero abdom","0","0","0","0","0","Nodular sclerosis Hodgkin lymphoma, intra-abd lymph nodes","Hodg nodul sclero abdom","0","0","0","0","0"
"C81.14","Nodlr scler class Hdgkn lymph, nodes of axla and upper limb","201.54","Hodg nodul sclero axilla","0","0","0","0","0","Nodular scler Hodgkin lymph, nodes of axilla and upper limb","Hodg nodul sclero axilla","0","0","0","0","0"
"C81.15","Nodlr scler class Hdgkn lymph, nodes of ing rgn and low limb","201.55","Hodg nodul sclero inguin","0","0","0","0","0","Nodlr scler Hdgkn lymph, nodes of ing region and lower limb","Hodg nodul sclero inguin","0","0","0","0","0"
"C81.16","Nodular sclerosis class Hodgkin lymphoma, intrapelv nodes","201.56","Hodg nodul sclero pelvic","0","0","0","0","0","Nodular sclerosis Hodgkin lymphoma, intrapelvic lymph nodes","Hodg nodul sclero pelvic","0","0","0","0","0"
"C81.17","Nodular sclerosis classical Hodgkin lymphoma, spleen","201.57","Hodg nodul sclero spleen","0","0","0","0","0","Nodular sclerosis Hodgkin lymphoma, spleen","Hodg nodul sclero spleen","0","0","0","0","0"
"C81.18","Nodular sclerosis class Hodgkin lymphoma, nodes mult site","201.58","Hodg nodul sclero mult","0","0","0","0","0","Nodular sclerosis Hodgkin lymphoma, lymph nodes mult site","Hodg nodul sclero mult","0","0","0","0","0"
"C81.20","Mixed cellularity classical Hodgkin lymphoma, unsp site","201.60","Mxd celr unsp xtrndl org","1","0","0","0","0","Mixed cellularity Hodgkin lymphoma, unspecified site","Mxd celr unsp xtrndl org","1","0","0","0","0"
"C81.29","Mix cellular class Hdgkn lymph, extrnod and solid org sites","201.60","Mxd celr unsp xtrndl org","1","0","0","0","0","Mixed cellular Hodgkin lymph, extrnod and solid organ sites","Mxd celr unsp xtrndl org","1","0","0","0","0"
"C81.21","Mix cellular class Hdgkn lymph, nodes of head, face, and nk","201.61","Hodgkins mix cell head","0","0","0","0","0","Mixed cellular Hodgkin lymph, nodes of head, face, and neck","Hodgkins mix cell head","0","0","0","0","0"
"C81.22","Mixed cellular classical Hodgkin lymphoma, intrathorac nodes","201.62","Hodgkins mix cell thorax","0","0","0","0","0","Mixed cellularity Hodgkin lymphoma, intrathorac lymph nodes","Hodgkins mix cell thorax","0","0","0","0","0"
"C81.23","Mixed cellular classical Hodgkin lymphoma, intra-abd nodes","201.63","Hodgkins mix cell abdom","0","0","0","0","0","Mixed cellularity Hodgkin lymphoma, intra-abd lymph nodes","Hodgkins mix cell abdom","0","0","0","0","0"
"C81.24","Mix cellular class Hdgkn lymph, nodes of axla and upper limb","201.64","Hodgkins mix cell axilla","0","0","0","0","0","Mixed cellular Hodgkin lymph, nodes of axilla and upper limb","Hodgkins mix cell axilla","0","0","0","0","0"
"C81.25","Mix cellular class Hdgkn lymph, nodes of ing rgn and low lmb","201.65","Hodgkins mix cell inguin","0","0","0","0","0","Mixed cellular Hdgkn lymph, nodes of ing rgn and lower limb","Hodgkins mix cell inguin","0","0","0","0","0"
"C81.26","Mixed cellular classical Hodgkin lymphoma, intrapelv nodes","201.66","Hodgkins mix cell pelvic","0","0","0","0","0","Mixed cellularity Hodgkin lymphoma, intrapelvic lymph nodes","Hodgkins mix cell pelvic","0","0","0","0","0"
"C81.27","Mixed cellularity classical Hodgkin lymphoma, spleen","201.67","Hodgkins mix cell spleen","0","0","0","0","0","Mixed cellularity Hodgkin lymphoma, spleen","Hodgkins mix cell spleen","0","0","0","0","0"
"C81.28","Mixed cellular classical Hodgkin lymphoma, nodes mult site","201.68","Hodgkins mix cell mult","0","0","0","0","0","Mixed cellularity Hodgkin lymphoma, lymph nodes mult site","Hodgkins mix cell mult","0","0","0","0","0"
"C81.30","Lymphocyte depleted classical Hodgkin lymphoma, unsp site","201.70","Lym dplt unsp xtrndl org","1","0","0","0","0","Lymphocyte depleted Hodgkin lymphoma, unspecified site","Lym dplt unsp xtrndl org","1","0","0","0","0"
"C81.39","Lymphocy deplet class Hdgkn lymph, extrnod & solid org site","201.70","Lym dplt unsp xtrndl org","1","0","0","0","0","Lymphocy deplet Hodgkin lymph, extrnod and solid organ sites","Lym dplt unsp xtrndl org","1","0","0","0","0"
"C81.31","Lymphocy deplet class Hdgkn lymph, nodes of head, face, & nk","201.71","Hodg lymph deplet head","0","0","0","0","0","Lymphocy deplet Hodgkin lymph, nodes of head, face, and neck","Hodg lymph deplet head","0","0","0","0","0"
"C81.32","Lymphocy depleted class Hodgkin lymphoma, intrathorac nodes","201.72","Hodg lymph deplet thorax","0","0","0","0","0","Lymphocyte depleted Hodgkin lymphoma, intrathorac nodes","Hodg lymph deplet thorax","0","0","0","0","0"
"C81.33","Lymphocy depleted class Hodgkin lymphoma, intra-abd nodes","201.73","Hodg lymph deplet abdom","0","0","0","0","0","Lymphocyte depleted Hodgkin lymphoma, intra-abd lymph nodes","Hodg lymph deplet abdom","0","0","0","0","0"
"C81.34","Lymphocy deplet class Hdgkn lymph, nodes of axla and upr lmb","201.74","Hodg lymph deplet axilla","0","0","0","0","0","Lymphocy deplet Hdgkn lymph, nodes of axilla and upper limb","Hodg lymph deplet axilla","0","0","0","0","0"
"C81.35","Lymphocy deplet class Hdgkn lymph,nodes of ing rgn & low lmb","201.75","Hodg lymph deplet inguin","0","0","0","0","0","Lymphocy deplet Hdgkn lymph, nodes of ing rgn and lower limb","Hodg lymph deplet inguin","0","0","0","0","0"
"C81.36","Lymphocy depleted class Hodgkin lymphoma, intrapelv nodes","201.76","Hodg lymph deplet pelvic","0","0","0","0","0","Lymphocyte depleted Hodgkin lymphoma, intrapelv lymph nodes","Hodg lymph deplet pelvic","0","0","0","0","0"
"C81.37","Lymphocyte depleted classical Hodgkin lymphoma, spleen","201.77","Hodg lymph deplet spleen","0","0","0","0","0","Lymphocyte depleted Hodgkin lymphoma, spleen","Hodg lymph deplet spleen","0","0","0","0","0"
"C81.38","Lymphocy depleted class Hodgkin lymphoma, nodes mult site","201.78","Hodg lymph deplet mult","0","0","0","0","0","Lymphocyte depleted Hodgkin lymphoma, lymph nodes mult site","Hodg lymph deplet mult","0","0","0","0","0"
"C7A.094","Malignant carcinoid tumor of the foregut NOS","209.25","Mal carcnoid foregut NOS","0","0","0","0","0","Malignant carcinoid tumor of the foregut, unspecified","Mal carcnoid foregut NOS","0","0","0","0","0"
"C7A.095","Malignant carcinoid tumor of the midgut NOS","209.26","Mal carcinoid midgut NOS","0","0","0","0","0","Malignant carcinoid tumor of the midgut, unspecified","Mal carcinoid midgut NOS","0","0","0","0","0"
"C7A.096","Malignant carcinoid tumor of the hindgut NOS","209.27","Mal carcnoid hindgut NOS","0","0","0","0","0","Malignant carcinoid tumor of the hindgut, unspecified","Mal carcnoid hindgut NOS","0","0","0","0","0"
"D3A.094","Benign carcinoid tumor of the foregut NOS","209.65","Ben crcinoid foregut NOS","0","0","0","0","0","Benign carcinoid tumor of the foregut, unspecified","Ben crcinoid foregut NOS","0","0","0","0","0"
"D3A.095","Benign carcinoid tumor of the midgut NOS","209.66","Ben crcinoid midgut NOS","0","0","0","0","0","Benign carcinoid tumor of the midgut, unspecified","Ben crcinoid midgut NOS","0","0","0","0","0"
"D3A.096","Benign carcinoid tumor of the hindgut NOS","209.67","Ben crcnoid hindgut NOS","0","0","0","0","0","Benign carcinoid tumor of the hindgut, unspecified","Ben crcnoid hindgut NOS","0","0","0","0","0"
"F64.1","Gender identity disorder in adolescence and adulthood","302.85","Gend iden dis,adol/adult","1","0","0","0","0","Dual role transvestism","Gend iden dis,adol/adult","1","0","0","0","0"
"I77.79","Dissection of other artery","443.29","Dissection artery NEC","1","0","0","0","0","Dissection of other specified artery","Dissection artery NEC","1","0","0","0","0"
"N10","Acute tubulo-interstitial nephritis","590.10","Ac pyelonephritis NOS","1","0","0","0","0","Acute pyelonephritis","Ac pyelonephritis NOS","1","0","0","0","0"
"N10","Acute tubulo-interstitial nephritis","590.11","Ac pyelonephr w med necr","1","0","0","0","0","Acute pyelonephritis","Ac pyelonephr w med necr","1","0","0","0","0"
"N99.113","Postprocedural anterior urethral stricture","598.2","Postop urethral strictur","1","0","0","0","0","Postprocedural anterior bulbous urethral stricture","Postop urethral strictur","1","0","0","0","0"
"N40.0","Enlarged prostate without lower urinary tract symptoms","600.00","BPH w/o urinary obs/LUTS","1","0","0","0","0","Benign prostatic hyperplasia without lower urinry tract symp","BPH w/o urinary obs/LUTS","1","0","0","0","0"
"N40.1","Enlarged prostate with lower urinary tract symptoms","600.01","BPH w urinary obs/LUTS","1","0","0","0","0","Benign prostatic hyperplasia with lower urinary tract symp","BPH w urinary obs/LUTS","1","0","0","0","0"
"N52.39","Other post-surgical erectile dysfunction","607.84","Impotence, organic orign","1","0","0","0","0","Other and unspecified postprocedural erectile dysfunction","Impotence, organic orign","1","0","0","0","0"
"T83.711A","Erosion of implnt vag prstht mtrl to surrnd org/tiss, init","629.31","Eros imp vag mesh in tis","1","0","0","0","0","Erosn implnt vaginal mesh to surrnd org/tiss, init","Eros imp vag mesh in tis","1","0","0","0","0"
"T83.721A","Exposure of implnt vag prstht mtrl into vagina, init encntr","629.32","Exp imp vag mesh-vagina","1","0","0","0","0","Exposure of implanted vaginal mesh into vagina, init","Exp imp vag mesh-vagina","1","0","0","0","0"
"O44.00","Placenta previa specified as w/o hemorrhage, unsp trimester","641.00","Placenta previa-unspec","1","0","0","0","0","Complete placenta previa NOS or without hemor, unsp tri","Placenta previa-unspec","1","0","0","0","0"
"O44.01","Placenta previa specified as w/o hemorrhage, first trimester","641.01","Placenta previa-deliver","1","0","0","0","0","Complete placenta previa NOS or without hemor, first tri","Placenta previa-deliver","1","0","0","0","0"
"O44.02","Placenta previa specified as w/o hemor, second trimester","641.01","Placenta previa-deliver","1","0","0","0","0","Complete placenta previa NOS or without hemor, second tri","Placenta previa-deliver","1","0","0","0","0"
"O44.03","Placenta previa specified as w/o hemorrhage, third trimester","641.01","Placenta previa-deliver","1","0","0","0","0","Complete placenta previa NOS or without hemor, third tri","Placenta previa-deliver","1","0","0","0","0"
"O44.01","Placenta previa specified as w/o hemorrhage, first trimester","641.03","Placenta previa-antepart","1","0","0","0","0","Complete placenta previa NOS or without hemor, first tri","Placenta previa-antepart","1","0","0","0","0"
"O44.02","Placenta previa specified as w/o hemor, second trimester","641.03","Placenta previa-antepart","1","0","0","0","0","Complete placenta previa NOS or without hemor, second tri","Placenta previa-antepart","1","0","0","0","0"
"O44.03","Placenta previa specified as w/o hemorrhage, third trimester","641.03","Placenta previa-antepart","1","0","0","0","0","Complete placenta previa NOS or without hemor, third tri","Placenta previa-antepart","1","0","0","0","0"
"O44.10","Placenta previa with hemorrhage, unspecified trimester","641.10","Placenta prev hem-unspec","1","0","0","0","0","Complete placenta previa with hemorrhage, unsp trimester","Placenta prev hem-unspec","1","0","0","0","0"
"O44.11","Placenta previa with hemorrhage, first trimester","641.11","Placenta prev hem-deliv","1","0","0","0","0","Complete placenta previa with hemorrhage, first trimester","Placenta prev hem-deliv","1","0","0","0","0"
"O44.12","Placenta previa with hemorrhage, second trimester","641.11","Placenta prev hem-deliv","1","0","0","0","0","Complete placenta previa with hemorrhage, second trimester","Placenta prev hem-deliv","1","0","0","0","0"
"O44.13","Placenta previa with hemorrhage, third trimester","641.11","Placenta prev hem-deliv","1","0","0","0","0","Complete placenta previa with hemorrhage, third trimester","Placenta prev hem-deliv","1","0","0","0","0"
"O44.11","Placenta previa with hemorrhage, first trimester","641.13","Placen prev hem-antepart","1","0","0","0","0","Complete placenta previa with hemorrhage, first trimester","Placen prev hem-antepart","1","0","0","0","0"
"O44.12","Placenta previa with hemorrhage, second trimester","641.13","Placen prev hem-antepart","1","0","0","0","0","Complete placenta previa with hemorrhage, second trimester","Placen prev hem-antepart","1","0","0","0","0"
"O44.13","Placenta previa with hemorrhage, third trimester","641.13","Placen prev hem-antepart","1","0","0","0","0","Complete placenta previa with hemorrhage, third trimester","Placen prev hem-antepart","1","0","0","0","0"
"O15.2","Eclampsia in the puerperium","642.44","Mild/NOS preeclamp-p/p","1","0","0","0","0","Eclampsia complicating the puerperium","Mild/NOS preeclamp-p/p","1","0","0","0","0"
"O15.00","Eclampsia in pregnancy, unspecified trimester","642.60","Eclampsia-unspecified","1","0","0","0","0","Eclampsia complicating pregnancy, unspecified trimester","Eclampsia-unspecified","1","0","0","0","0"
"O15.02","Eclampsia in pregnancy, second trimester","642.61","Eclampsia-delivered","1","0","0","0","0","Eclampsia complicating pregnancy, second trimester","Eclampsia-delivered","1","0","0","0","0"
"O15.03","Eclampsia in pregnancy, third trimester","642.61","Eclampsia-delivered","1","0","0","0","0","Eclampsia complicating pregnancy, third trimester","Eclampsia-delivered","1","0","0","0","0"
"O15.1","Eclampsia in labor","642.61","Eclampsia-delivered","1","0","0","0","0","Eclampsia complicating labor","Eclampsia-delivered","1","0","0","0","0"
"O15.02","Eclampsia in pregnancy, second trimester","642.63","Eclampsia-antepartum","1","0","0","0","0","Eclampsia complicating pregnancy, second trimester","Eclampsia-antepartum","1","0","0","0","0"
"O15.03","Eclampsia in pregnancy, third trimester","642.63","Eclampsia-antepartum","1","0","0","0","0","Eclampsia complicating pregnancy, third trimester","Eclampsia-antepartum","1","0","0","0","0"
"O15.2","Eclampsia in the puerperium","642.64","Eclampsia-postpartum","1","0","0","0","0","Eclampsia complicating the puerperium","Eclampsia-postpartum","1","0","0","0","0"
"O24.019","Pre-existing diabetes, type 1, in pregnancy, unsp trimester","648.00","Diabetes in preg-unspec","1","0","0","0","0","Pre-exist type 1 diabetes, in pregnancy, unsp trimester","Diabetes in preg-unspec","1","0","0","0","0"
"O24.119","Pre-existing diabetes, type 2, in pregnancy, unsp trimester","648.00","Diabetes in preg-unspec","1","0","0","0","0","Pre-exist type 2 diabetes, in pregnancy, unsp trimester","Diabetes in preg-unspec","1","0","0","0","0"
"O24.011","Pre-existing diabetes, type 1, in pregnancy, first trimester","648.01","Diabetes-delivered","1","0","0","0","0","Pre-existing type 1 diabetes, in pregnancy, first trimester","Diabetes-delivered","1","0","0","0","0"
"O24.012","Pre-exist diabetes, type 1, in pregnancy, second trimester","648.01","Diabetes-delivered","1","0","0","0","0","Pre-existing type 1 diabetes, in pregnancy, second trimester","Diabetes-delivered","1","0","0","0","0"
"O24.013","Pre-existing diabetes, type 1, in pregnancy, third trimester","648.01","Diabetes-delivered","1","0","0","0","0","Pre-existing type 1 diabetes, in pregnancy, third trimester","Diabetes-delivered","1","0","0","0","0"
"O24.02","Pre-existing diabetes mellitus, type 1, in childbirth","648.01","Diabetes-delivered","1","0","0","0","0","Pre-existing type 1 diabetes mellitus, in childbirth","Diabetes-delivered","1","0","0","0","0"
"O24.111","Pre-existing diabetes, type 2, in pregnancy, first trimester","648.01","Diabetes-delivered","1","0","0","0","0","Pre-existing type 2 diabetes, in pregnancy, first trimester","Diabetes-delivered","1","0","0","0","0"
"O24.112","Pre-exist diabetes, type 2, in pregnancy, second trimester","648.01","Diabetes-delivered","1","0","0","0","0","Pre-existing type 2 diabetes, in pregnancy, second trimester","Diabetes-delivered","1","0","0","0","0"
"O24.113","Pre-existing diabetes, type 2, in pregnancy, third trimester","648.01","Diabetes-delivered","1","0","0","0","0","Pre-existing type 2 diabetes, in pregnancy, third trimester","Diabetes-delivered","1","0","0","0","0"
"O24.12","Pre-existing diabetes mellitus, type 2, in childbirth","648.01","Diabetes-delivered","1","0","0","0","0","Pre-existing type 2 diabetes mellitus, in childbirth","Diabetes-delivered","1","0","0","0","0"
"O24.011","Pre-existing diabetes, type 1, in pregnancy, first trimester","648.03","Diabetes-antepartum","1","0","0","0","0","Pre-existing type 1 diabetes, in pregnancy, first trimester","Diabetes-antepartum","1","0","0","0","0"
"O24.012","Pre-exist diabetes, type 1, in pregnancy, second trimester","648.03","Diabetes-antepartum","1","0","0","0","0","Pre-existing type 1 diabetes, in pregnancy, second trimester","Diabetes-antepartum","1","0","0","0","0"
"O24.013","Pre-existing diabetes, type 1, in pregnancy, third trimester","648.03","Diabetes-antepartum","1","0","0","0","0","Pre-existing type 1 diabetes, in pregnancy, third trimester","Diabetes-antepartum","1","0","0","0","0"
"O24.111","Pre-existing diabetes, type 2, in pregnancy, first trimester","648.03","Diabetes-antepartum","1","0","0","0","0","Pre-existing type 2 diabetes, in pregnancy, first trimester","Diabetes-antepartum","1","0","0","0","0"
"O24.112","Pre-exist diabetes, type 2, in pregnancy, second trimester","648.03","Diabetes-antepartum","1","0","0","0","0","Pre-existing type 2 diabetes, in pregnancy, second trimester","Diabetes-antepartum","1","0","0","0","0"
"O24.113","Pre-existing diabetes, type 2, in pregnancy, third trimester","648.03","Diabetes-antepartum","1","0","0","0","0","Pre-existing type 2 diabetes, in pregnancy, third trimester","Diabetes-antepartum","1","0","0","0","0"
"O24.03","Pre-existing diabetes mellitus, type 1, in the puerperium","648.04","Diabetes-postpartum","1","0","0","0","0","Pre-existing type 1 diabetes mellitus, in the puerperium","Diabetes-postpartum","1","0","0","0","0"
