ICD9,ICD9_Desc,ICD10,ICD10_Desc,APPROX,NOMAP,COMBO,SCENARIO,CHOICE,OBSOLETE
005.89,Bact food poisoning NEC,A05.4,Foodborne Bacillus cereus intoxication,1,0,0,0,0,0
005.89,Bact food poisoning NEC,A05.8,Other specified bacterial foodborne intoxications,1,0,0,0,0,0
005.9,Food poisoning NOS,A05.9,"Bacterial foodborne intoxication, unspecified",0,0,0,0,0,0
006.0,Ac amebiasis w/o abscess,A06.0,Acute amebic dysentery,0,0,0,0,0,0
006.1,Chr amebiasis w/o absces,A06.1,Chronic intestinal amebiasis,0,0,0,0,0,0
006.2,Amebic nondysent colitis,A06.2,Amebic nondysenteric colitis,0,0,0,0,0,0
006.3,Amebic liver abscess,A06.4,Amebic liver abscess,0,0,0,0,0,0
006.4,Amebic lung abscess,A06.5,Amebic lung abscess,0,0,0,0,0,0
006.5,Amebic brain abscess,A06.6,Amebic brain abscess,0,0,0,0,0,0
006.6,Amebic skin ulceration,A06.7,Cutaneous amebiasis,0,0,0,0,0,0
006.8,Amebic infection NEC,A06.89,Other amebic infections,1,0,0,0,0,0
006.9,Amebiasis NOS,A06.9,"Amebiasis, unspecified",0,0,0,0,0,0
007.0,Balantidiasis,A07.0,Balantidiasis,0,0,0,0,0,0
007.1,Giardiasis,A07.1,Giardiasis [lambliasis],0,0,0,0,0,0
007.2,Coccidiosis,A07.3,Isosporiasis,0,0,0,0,0,0
007.3,Intest trichomoniasis,A07.8,Other specified protozoal intestinal diseases,1,0,0,0,0,0
007.4,Cryptosporidiosis,A07.2,Cryptosporidiosis,0,0,0,0,0,0
007.5,Cyclosporiasis,A07.4,Cyclosporiasis,0,0,0,0,0,0
007.8,Protozoal intest dis NEC,A07.8,Other specified protozoal intestinal diseases,1,0,0,0,0,0
007.9,Protozoal intest dis NOS,A07.9,"Protozoal intestinal disease, unspecified",0,0,0,0,0,0
008.00,Intest infec e coli NOS,A04.4,Other intestinal Escherichia coli infections,1,0,0,0,0,0
008.01,Int inf e coli entrpath,A04.0,Enteropathogenic Escherichia coli infection,0,0,0,0,0,0
008.02,Int inf e coli entrtoxgn,A04.1,Enterotoxigenic Escherichia coli infection,0,0,0,0,0,0
008.03,Int inf e coli entrnvsv,A04.2,Enteroinvasive Escherichia coli infection,0,0,0,0,0,0
008.04,Int inf e coli entrhmrg,A04.3,Enterohemorrhagic Escherichia coli infection,0,0,0,0,0,0
008.09,Int inf e coli spcf NEC,A04.4,Other intestinal Escherichia coli infections,1,0,0,0,0,0
008.1,Arizona enteritis,A04.8,Other specified bacterial intestinal infections,1,0,0,0,0,0
008.2,Aerobacter enteritis,A04.8,Other specified bacterial intestinal infections,1,0,0,0,0,0
008.3,Proteus enteritis,A04.8,Other specified bacterial intestinal infections,1,0,0,0,0,0
008.41,Staphylococc enteritis,A04.8,Other specified bacterial intestinal infections,1,0,0,0,0,0
008.42,Pseudomonas enteritis,A04.8,Other specified bacterial intestinal infections,1,0,0,0,0,0
008.43,Int infec campylobacter,A04.5,Campylobacter enteritis,0,0,0,0,0,0
008.44,Int inf yrsnia entrcltca,A04.6,Enteritis due to Yersinia enterocolitica,0,0,0,0,0,0
008.45,Int inf clstrdium dfcile,A04.7,Enterocolitis due to Clostridium difficile,0,0,0,0,0,0
008.46,Intes infec oth anerobes,A04.8,Other specified bacterial intestinal infections,1,0,0,0,0,0
008.47,Int inf oth grm neg bctr,A04.8,Other specified bacterial intestinal infections,1,0,0,0,0,0
008.49,Bacterial enteritis NEC,A04.8,Other specified bacterial intestinal infections,1,0,0,0,0,0
008.5,Bacterial enteritis NOS,A04.9,"Bacterial intestinal infection, unspecified",0,0,0,0,0,0
008.61,Intes infec rotavirus,A08.0,Rotaviral enteritis,0,0,0,0,0,0
008.62,Intes infec adenovirus,A08.2,Adenoviral enteritis,0,0,0,0,0,0
008.63,Int inf norwalk virus,A08.11,Acute gastroenteropathy due to Norwalk agent,1,0,0,0,0,0
008.64,Int inf oth sml rnd vrus,A08.19,Acute gastroenteropathy due to other small round viruses,1,0,0,0,0,0
008.65,Enteritis d/t calicivirs,A08.31,Calicivirus enteritis,0,0,0,0,0,0
008.66,Intes infec astrovirus,A08.32,Astrovirus enteritis,0,0,0,0,0,0
008.67,Int inf enterovirus NEC,A08.39,Other viral enteritis,1,0,0,0,0,0
008.69,Other viral intes infec,A08.39,Other viral enteritis,1,0,0,0,0,0
008.8,Viral enteritis NOS,A08.8,Other specified intestinal infections,1,0,0,0,0,0
009.0,Infectious enteritis NOS,A09,"Infectious gastroenteritis and colitis, unspecified",1,0,0,0,0,0
009.1,Enteritis of infect orig,A09,"Infectious gastroenteritis and colitis, unspecified",1,0,0,0,0,0
009.2,Infectious diarrhea NOS,A09,"Infectious gastroenteritis and colitis, unspecified",1,0,0,0,0,0
009.3,Diarrhea of infect orig,A09,"Infectious gastroenteritis and colitis, unspecified",1,0,0,0,0,0
010.00,Prim TB complex-unspec,A15.7,Primary respiratory tuberculosis,1,0,0,0,0,0
010.01,Prim TB complex-no exam,A15.7,Primary respiratory tuberculosis,1,0,0,0,0,0
010.02,Prim TB complex-exm unkn,A15.7,Primary respiratory tuberculosis,1,0,0,0,0,0
010.03,Prim TB complex-micro dx,A15.7,Primary respiratory tuberculosis,1,0,0,0,0,0
010.04,Prim TB complex-cult dx,A15.7,Primary respiratory tuberculosis,1,0,0,0,0,0
010.05,Prim TB complex-histo dx,A15.7,Primary respiratory tuberculosis,1,0,0,0,0,0
010.06,Prim TB complex-oth test,A15.7,Primary respiratory tuberculosis,1,0,0,0,0,0
010.10,Prim TB pleurisy-unspec,A15.6,Tuberculous pleurisy,1,0,0,0,0,0
010.11,Prim TB pleurisy-no exam,A15.6,Tuberculous pleurisy,1,0,0,0,0,0
010.12,Prim TB pleur-exam unkn,A15.6,Tuberculous pleurisy,1,0,0,0,0,0
010.13,Prim TB pleuris-micro dx,A15.6,Tuberculous pleurisy,1,0,0,0,0,0
010.14,Prim TB pleurisy-cult dx,A15.6,Tuberculous pleurisy,1,0,0,0,0,0
010.15,Prim TB pleuris-histo dx,A15.6,Tuberculous pleurisy,1,0,0,0,0,0
010.16,Prim TB pleuris-oth test,A15.6,Tuberculous pleurisy,1,0,0,0,0,0
010.80,Prim prog TB NEC-unspec,A15.7,Primary respiratory tuberculosis,1,0,0,0,0,0
010.81,Prim prog TB NEC-no exam,A15.7,Primary respiratory tuberculosis,1,0,0,0,0,0
010.82,Prim pr TB NEC-exam unkn,A15.7,Primary respiratory tuberculosis,1,0,0,0,0,0
010.83,Prim prg TB NEC-micro dx,A15.7,Primary respiratory tuberculosis,1,0,0,0,0,0
010.84,Prim prog TB NEC-cult dx,A15.7,Primary respiratory tuberculosis,1,0,0,0,0,0
010.85,Prim prg TB NEC-histo dx,A15.7,Primary respiratory tuberculosis,1,0,0,0,0,0
010.86,Prim prg TB NEC-oth test,A15.7,Primary respiratory tuberculosis,1,0,0,0,0,0
010.90,Primary TB NOS-unspec,A15.7,Primary respiratory tuberculosis,1,0,0,0,0,0
010.91,Primary TB NOS-no exam,A15.7,Primary respiratory tuberculosis,1,0,0,0,0,0
010.92,Primary TB NOS-exam unkn,A15.7,Primary respiratory tuberculosis,1,0,0,0,0,0
010.93,Primary TB NOS-micro dx,A15.7,Primary respiratory tuberculosis,1,0,0,0,0,0
010.94,Primary TB NOS-cult dx,A15.7,Primary respiratory tuberculosis,1,0,0,0,0,0
010.95,Primary TB NOS-histo dx,A15.7,Primary respiratory tuberculosis,1,0,0,0,0,0
010.96,Primary TB NOS-oth test,A15.7,Primary respiratory tuberculosis,1,0,0,0,0,0
011.00,TB lung infiltr-unspec,A15.0,Tuberculosis of lung,1,0,0,0,0,0
011.01,TB lung infiltr-no exam,A15.0,Tuberculosis of lung,1,0,0,0,0,0
011.02,TB lung infiltr-exm unkn,A15.0,Tuberculosis of lung,1,0,0,0,0,0
011.03,TB lung infiltr-micro dx,A15.0,Tuberculosis of lung,1,0,0,0,0,0
011.04,TB lung infiltr-cult dx,A15.0,Tuberculosis of lung,1,0,0,0,0,0
011.05,TB lung infiltr-histo dx,A15.0,Tuberculosis of lung,1,0,0,0,0,0
011.06,TB lung infiltr-oth test,A15.0,Tuberculosis of lung,1,0,0,0,0,0
011.10,TB lung nodular-unspec,A15.0,Tuberculosis of lung,1,0,0,0,0,0
011.11,TB lung nodular-no exam,A15.0,Tuberculosis of lung,1,0,0,0,0,0
011.12,TB lung nodul-exam unkn,A15.0,Tuberculosis of lung,1,0,0,0,0,0
011.13,TB lung nodular-micro dx,A15.0,Tuberculosis of lung,1,0,0,0,0,0
011.14,TB lung nodular-cult dx,A15.0,Tuberculosis of lung,1,0,0,0,0,0
011.15,TB lung nodular-histo dx,A15.0,Tuberculosis of lung,1,0,0,0,0,0
011.16,TB lung nodular-oth test,A15.0,Tuberculosis of lung,1,0,0,0,0,0
011.20,TB lung w cavity-unspec,A15.0,Tuberculosis of lung,1,0,0,0,0,0
011.21,TB lung w cavity-no exam,A15.0,Tuberculosis of lung,1,0,0,0,0,0
011.22,TB lung cavity-exam unkn,A15.0,Tuberculosis of lung,1,0,0,0,0,0
011.23,TB lung w cavit-micro dx,A15.0,Tuberculosis of lung,1,0,0,0,0,0
011.24,TB lung w cavity-cult dx,A15.0,Tuberculosis of lung,1,0,0,0,0,0
011.25,TB lung w cavit-histo dx,A15.0,Tuberculosis of lung,1,0,0,0,0,0
011.26,TB lung w cavit-oth test,A15.0,Tuberculosis of lung,1,0,0,0,0,0
011.30,TB of bronchus-unspec,A15.5,"Tuberculosis of larynx, trachea and bronchus",1,0,0,0,0,0
011.31,TB of bronchus-no exam,A15.5,"Tuberculosis of larynx, trachea and bronchus",1,0,0,0,0,0
011.32,TB of bronchus-exam unkn,A15.5,"Tuberculosis of larynx, trachea and bronchus",1,0,0,0,0,0
011.33,TB of bronchus-micro dx,A15.5,"Tuberculosis of larynx, trachea and bronchus",1,0,0,0,0,0
011.34,TB of bronchus-cult dx,A15.5,"Tuberculosis of larynx, trachea and bronchus",1,0,0,0,0,0
011.35,TB of bronchus-histo dx,A15.5,"Tuberculosis of larynx, trachea and bronchus",1,0,0,0,0,0
011.36,TB of bronchus-oth test,A15.5,"Tuberculosis of larynx, trachea and bronchus",1,0,0,0,0,0
011.40,TB lung fibrosis-unspec,A15.0,Tuberculosis of lung,1,0,0,0,0,0
011.41,TB lung fibrosis-no exam,A15.0,Tuberculosis of lung,1,0,0,0,0,0
011.42,TB lung fibros-exam unkn,A15.0,Tuberculosis of lung,1,0,0,0,0,0
011.43,TB lung fibros-micro dx,A15.0,Tuberculosis of lung,1,0,0,0,0,0
011.44,TB lung fibrosis-cult dx,A15.0,Tuberculosis of lung,1,0,0,0,0,0
011.45,TB lung fibros-histo dx,A15.0,Tuberculosis of lung,1,0,0,0,0,0
011.46,TB lung fibros-oth test,A15.0,Tuberculosis of lung,1,0,0,0,0,0
011.50,TB bronchiectasis-unspec,A15.0,Tuberculosis of lung,1,0,0,0,0,0
011.51,TB bronchiect-no exam,A15.0,Tuberculosis of lung,1,0,0,0,0,0
011.52,TB bronchiect-exam unkn,A15.0,Tuberculosis of lung,1,0,0,0,0,0
011.53,TB bronchiect-micro dx,A15.0,Tuberculosis of lung,1,0,0,0,0,0
011.54,TB bronchiect-cult dx,A15.0,Tuberculosis of lung,1,0,0,0,0,0
011.55,TB bronchiect-histo dx,A15.0,Tuberculosis of lung,1,0,0,0,0,0
011.56,TB bronchiect-oth test,A15.0,Tuberculosis of lung,1,0,0,0,0,0
011.60,TB pneumonia-unspec,A15.0,Tuberculosis of lung,1,0,0,0,0,0
011.61,TB pneumonia-no exam,A15.0,Tuberculosis of lung,1,0,0,0,0,0
011.62,TB pneumonia-exam unkn,A15.0,Tuberculosis of lung,1,0,0,0,0,0
011.63,TB pneumonia-micro dx,A15.0,Tuberculosis of lung,1,0,0,0,0,0
011.64,TB pneumonia-cult dx,A15.0,Tuberculosis of lung,1,0,0,0,0,0
011.65,TB pneumonia-histo dx,A15.0,Tuberculosis of lung,1,0,0,0,0,0
011.66,TB pneumonia-oth test,A15.0,Tuberculosis of lung,1,0,0,0,0,0
011.70,TB pneumothorax-unspec,A15.0,Tuberculosis of lung,1,0,0,0,0,0
011.71,TB pneumothorax-no exam,A15.0,Tuberculosis of lung,1,0,0,0,0,0
011.72,TB pneumothorx-exam unkn,A15.0,Tuberculosis of lung,1,0,0,0,0,0
011.73,TB pneumothorax-micro dx,A15.0,Tuberculosis of lung,1,0,0,0,0,0
011.74,TB pneumothorax-cult dx,A15.0,Tuberculosis of lung,1,0,0,0,0,0
011.75,TB pneumothorax-histo dx,A15.0,Tuberculosis of lung,1,0,0,0,0,0
011.76,TB pneumothorax-oth test,A15.0,Tuberculosis of lung,1,0,0,0,0,0
011.80,Pulmonary TB NEC-unspec,A15.0,Tuberculosis of lung,1,0,0,0,0,0
011.81,Pulmonary TB NEC-no exam,A15.0,Tuberculosis of lung,1,0,0,0,0,0
011.82,Pulmon TB NEC-exam unkn,A15.0,Tuberculosis of lung,1,0,0,0,0,0
011.83,Pulmon TB NEC-micro dx,A15.0,Tuberculosis of lung,1,0,0,0,0,0
011.84,Pulmon TB NEC-cult dx,A15.0,Tuberculosis of lung,1,0,0,0,0,0
011.85,Pulmon TB NEC-histo dx,A15.0,Tuberculosis of lung,1,0,0,0,0,0
011.86,Pulmon TB NEC-oth test,A15.0,Tuberculosis of lung,1,0,0,0,0,0
011.90,Pulmonary TB NOS-unspec,A15.0,Tuberculosis of lung,1,0,0,0,0,0
011.91,Pulmonary TB NOS-no exam,A15.0,Tuberculosis of lung,1,0,0,0,0,0
011.92,Pulmon TB NOS-exam unkn,A15.0,Tuberculosis of lung,1,0,0,0,0,0
011.93,Pulmon TB NOS-micro dx,A15.0,Tuberculosis of lung,1,0,0,0,0,0
011.94,Pulmon TB NOS-cult dx,A15.0,Tuberculosis of lung,1,0,0,0,0,0
011.95,Pulmon TB NOS-histo dx,A15.0,Tuberculosis of lung,1,0,0,0,0,0
011.96,Pulmon TB NOS-oth test,A15.0,Tuberculosis of lung,1,0,0,0,0,0
012.00,TB pleurisy-unspec,A15.6,Tuberculous pleurisy,1,0,0,0,0,0
012.01,TB pleurisy-no exam,A15.6,Tuberculous pleurisy,1,0,0,0,0,0
012.02,TB pleurisy-exam unkn,A15.6,Tuberculous pleurisy,1,0,0,0,0,0
012.03,TB pleurisy-micro dx,A15.6,Tuberculous pleurisy,1,0,0,0,0,0
012.04,TB pleurisy-cult dx,A15.6,Tuberculous pleurisy,1,0,0,0,0,0
012.05,TB pleurisy-histolog dx,A15.6,Tuberculous pleurisy,1,0,0,0,0,0
012.06,TB pleurisy-oth test,A15.6,Tuberculous pleurisy,1,0,0,0,0,0
012.10,TB thoracic nodes-unspec,A15.4,Tuberculosis of intrathoracic lymph nodes,1,0,0,0,0,0
012.11,TB thorax node-no exam,A15.4,Tuberculosis of intrathoracic lymph nodes,1,0,0,0,0,0
012.12,TB thorax node-exam unkn,A15.4,Tuberculosis of intrathoracic lymph nodes,1,0,0,0,0,0
012.13,TB thorax node-micro dx,A15.4,Tuberculosis of intrathoracic lymph nodes,1,0,0,0,0,0
012.14,TB thorax node-cult dx,A15.4,Tuberculosis of intrathoracic lymph nodes,1,0,0,0,0,0
012.15,TB thorax node-histo dx,A15.4,Tuberculosis of intrathoracic lymph nodes,1,0,0,0,0,0
012.16,TB thorax node-oth test,A15.4,Tuberculosis of intrathoracic lymph nodes,1,0,0,0,0,0
012.20,Isol tracheal tb-unspec,A15.5,"Tuberculosis of larynx, trachea and bronchus",1,0,0,0,0,0
012.21,Isol tracheal tb-no exam,A15.5,"Tuberculosis of larynx, trachea and bronchus",1,0,0,0,0,0
012.22,Isol trach tb-exam unkn,A15.5,"Tuberculosis of larynx, trachea and bronchus",1,0,0,0,0,0
012.23,Isolat trach tb-micro dx,A15.5,"Tuberculosis of larynx, trachea and bronchus",1,0,0,0,0,0
012.24,Isol tracheal tb-cult dx,A15.5,"Tuberculosis of larynx, trachea and bronchus",1,0,0,0,0,0
012.25,Isolat trach tb-histo dx,A15.5,"Tuberculosis of larynx, trachea and bronchus",1,0,0,0,0,0
012.26,Isolat trach tb-oth test,A15.5,"Tuberculosis of larynx, trachea and bronchus",1,0,0,0,0,0
012.30,TB laryngitis-unspec,A15.5,"Tuberculosis of larynx, trachea and bronchus",1,0,0,0,0,0
012.31,TB laryngitis-no exam,A15.5,"Tuberculosis of larynx, trachea and bronchus",1,0,0,0,0,0
012.32,TB laryngitis-exam unkn,A15.5,"Tuberculosis of larynx, trachea and bronchus",1,0,0,0,0,0
012.33,TB laryngitis-micro dx,A15.5,"Tuberculosis of larynx, trachea and bronchus",1,0,0,0,0,0
012.34,TB laryngitis-cult dx,A15.5,"Tuberculosis of larynx, trachea and bronchus",1,0,0,0,0,0
012.35,TB laryngitis-histo dx,A15.5,"Tuberculosis of larynx, trachea and bronchus",1,0,0,0,0,0
012.36,TB laryngitis-oth test,A15.5,"Tuberculosis of larynx, trachea and bronchus",1,0,0,0,0,0
012.80,Resp TB NEC-unspec,A15.8,Other respiratory tuberculosis,1,0,0,0,0,0
012.81,Resp TB NEC-no exam,A15.8,Other respiratory tuberculosis,1,0,0,0,0,0
012.82,Resp TB NEC-exam unkn,A15.8,Other respiratory tuberculosis,1,0,0,0,0,0
012.83,Resp TB NEC-micro dx,A15.8,Other respiratory tuberculosis,1,0,0,0,0,0
012.84,Resp TB NEC-cult dx,A15.8,Other respiratory tuberculosis,1,0,0,0,0,0
012.85,Resp TB NEC-histo dx,A15.8,Other respiratory tuberculosis,1,0,0,0,0,0
012.86,Resp TB NEC-oth test,A15.8,Other respiratory tuberculosis,1,0,0,0,0,0
013.00,TB meningitis-unspec,A17.0,Tuberculous meningitis,1,0,0,0,0,0
013.01,TB meningitis-no exam,A17.0,Tuberculous meningitis,1,0,0,0,0,0
013.02,TB meningitis-exam unkn,A17.0,Tuberculous meningitis,1,0,0,0,0,0
013.03,TB meningitis-micro dx,A17.0,Tuberculous meningitis,1,0,0,0,0,0
013.04,TB meningitis-cult dx,A17.0,Tuberculous meningitis,1,0,0,0,0,0
013.05,TB meningitis-histo dx,A17.0,Tuberculous meningitis,1,0,0,0,0,0
013.06,TB meningitis-oth test,A17.0,Tuberculous meningitis,1,0,0,0,0,0
013.10,Tubrclma meninges-unspec,A17.1,Meningeal tuberculoma,1,0,0,0,0,0
013.11,Tubrclma mening-no exam,A17.1,Meningeal tuberculoma,1,0,0,0,0,0
013.12,Tubrclma menin-exam unkn,A17.1,Meningeal tuberculoma,1,0,0,0,0,0
013.13,Tubrclma mening-micro dx,A17.1,Meningeal tuberculoma,1,0,0,0,0,0
013.14,Tubrclma mening-cult dx,A17.1,Meningeal tuberculoma,1,0,0,0,0,0
013.15,Tubrclma mening-histo dx,A17.1,Meningeal tuberculoma,1,0,0,0,0,0
013.16,Tubrclma mening-oth test,A17.1,Meningeal tuberculoma,1,0,0,0,0,0
013.20,Tuberculoma brain-unspec,A17.81,Tuberculoma of brain and spinal cord,1,0,0,0,0,0
013.21,Tubrcloma brain-no exam,A17.81,Tuberculoma of brain and spinal cord,1,0,0,0,0,0
013.22,Tubrclma brain-exam unkn,A17.81,Tuberculoma of brain and spinal cord,1,0,0,0,0,0
013.23,Tubrcloma brain-micro dx,A17.81,Tuberculoma of brain and spinal cord,1,0,0,0,0,0
013.24,Tubrcloma brain-cult dx,A17.81,Tuberculoma of brain and spinal cord,1,0,0,0,0,0
013.25,Tubrcloma brain-histo dx,A17.81,Tuberculoma of brain and spinal cord,1,0,0,0,0,0
013.26,Tubrcloma brain-oth test,A17.81,Tuberculoma of brain and spinal cord,1,0,0,0,0,0
013.30,TB brain abscess-unspec,A17.81,Tuberculoma of brain and spinal cord,1,0,0,0,0,0
013.31,TB brain abscess-no exam,A17.81,Tuberculoma of brain and spinal cord,1,0,0,0,0,0
013.32,TB brain absc-exam unkn,A17.81,Tuberculoma of brain and spinal cord,1,0,0,0,0,0
013.33,TB brain absc-micro dx,A17.81,Tuberculoma of brain and spinal cord,1,0,0,0,0,0
013.34,TB brain abscess-cult dx,A17.81,Tuberculoma of brain and spinal cord,1,0,0,0,0,0
013.35,TB brain absc-histo dx,A17.81,Tuberculoma of brain and spinal cord,1,0,0,0,0,0
013.36,TB brain absc-oth test,A17.81,Tuberculoma of brain and spinal cord,1,0,0,0,0,0
013.40,Tubrclma sp cord-unspec,A17.81,Tuberculoma of brain and spinal cord,1,0,0,0,0,0
013.41,Tubrclma sp cord-no exam,A17.81,Tuberculoma of brain and spinal cord,1,0,0,0,0,0
013.42,Tubrclma sp cd-exam unkn,A17.81,Tuberculoma of brain and spinal cord,1,0,0,0,0,0
013.43,Tubrclma sp crd-micro dx,A17.81,Tuberculoma of brain and spinal cord,1,0,0,0,0,0
013.44,Tubrclma sp cord-cult dx,A17.81,Tuberculoma of brain and spinal cord,1,0,0,0,0,0
013.45,Tubrclma sp crd-histo dx,A17.81,Tuberculoma of brain and spinal cord,1,0,0,0,0,0
013.46,Tubrclma sp crd-oth test,A17.81,Tuberculoma of brain and spinal cord,1,0,0,0,0,0
013.50,TB sp crd abscess-unspec,A17.81,Tuberculoma of brain and spinal cord,1,0,0,0,0,0
013.51,TB sp crd absc-no exam,A17.81,Tuberculoma of brain and spinal cord,1,0,0,0,0,0
013.52,TB sp crd absc-exam unkn,A17.81,Tuberculoma of brain and spinal cord,1,0,0,0,0,0
013.53,TB sp crd absc-micro dx,A17.81,Tuberculoma of brain and spinal cord,1,0,0,0,0,0
013.54,TB sp crd absc-cult dx,A17.81,Tuberculoma of brain and spinal cord,1,0,0,0,0,0
013.55,TB sp crd absc-histo dx,A17.81,Tuberculoma of brain and spinal cord,1,0,0,0,0,0
013.56,TB sp crd absc-oth test,A17.81,Tuberculoma of brain and spinal cord,1,0,0,0,0,0
013.60,TB encephalitis-unspec,A17.82,Tuberculous meningoencephalitis,1,0,0,0,0,0
013.61,TB encephalitis-no exam,A17.82,Tuberculous meningoencephalitis,1,0,0,0,0,0
013.62,TB encephalit-exam unkn,A17.82,Tuberculous meningoencephalitis,1,0,0,0,0,0
013.63,TB encephalitis-micro dx,A17.82,Tuberculous meningoencephalitis,1,0,0,0,0,0
013.64,TB encephalitis-cult dx,A17.82,Tuberculous meningoencephalitis,1,0,0,0,0,0
013.65,TB encephalitis-histo dx,A17.82,Tuberculous meningoencephalitis,1,0,0,0,0,0
013.66,TB encephalitis-oth test,A17.82,Tuberculous meningoencephalitis,1,0,0,0,0,0
013.80,Cns TB NEC-unspec,A17.89,Other tuberculosis of nervous system,1,0,0,0,0,0
013.81,Cns TB NEC-no exam,A17.89,Other tuberculosis of nervous system,1,0,0,0,0,0
013.82,Cns TB NEC-exam unkn,A17.89,Other tuberculosis of nervous system,1,0,0,0,0,0
013.83,Cns TB NEC-micro dx,A17.89,Other tuberculosis of nervous system,1,0,0,0,0,0
013.84,Cns TB NEC-cult dx,A17.89,Other tuberculosis of nervous system,1,0,0,0,0,0
013.85,Cns TB NEC-histo dx,A17.89,Other tuberculosis of nervous system,1,0,0,0,0,0
013.86,Cns TB NEC-oth test,A17.89,Other tuberculosis of nervous system,1,0,0,0,0,0
013.90,Cns TB NOS-unspec,A17.9,"Tuberculosis of nervous system, unspecified",1,0,0,0,0,0
013.91,Cns TB NOS-no exam,A17.9,"Tuberculosis of nervous system, unspecified",1,0,0,0,0,0
013.92,Cns TB NOS-exam unkn,A17.9,"Tuberculosis of nervous system, unspecified",1,0,0,0,0,0
013.93,Cns TB NOS-micro dx,A17.9,"Tuberculosis of nervous system, unspecified",1,0,0,0,0,0
013.94,Cns TB NOS-cult dx,A17.9,"Tuberculosis of nervous system, unspecified",1,0,0,0,0,0
013.95,Cns TB NOS-histo dx,A17.9,"Tuberculosis of nervous system, unspecified",1,0,0,0,0,0
013.96,Cns TB NOS-oth test,A17.9,"Tuberculosis of nervous system, unspecified",1,0,0,0,0,0
014.00,TB peritonitis-unspec,A18.31,Tuberculous peritonitis,1,0,0,0,0,0
014.01,TB peritonitis-no exam,A18.31,Tuberculous peritonitis,1,0,0,0,0,0
014.02,TB peritonitis-exam unkn,A18.31,Tuberculous peritonitis,1,0,0,0,0,0
014.03,TB peritonitis-micro dx,A18.31,Tuberculous peritonitis,1,0,0,0,0,0
014.04,TB peritonitis-cult dx,A18.31,Tuberculous peritonitis,1,0,0,0,0,0
014.05,TB peritonitis-histo dx,A18.31,Tuberculous peritonitis,1,0,0,0,0,0
014.06,TB peritonitis-oth test,A18.31,Tuberculous peritonitis,1,0,0,0,0,0
014.80,Intestinal TB NEC-unspec,A18.32,Tuberculous enteritis,1,0,0,0,0,0
014.80,Intestinal TB NEC-unspec,A18.39,Retroperitoneal tuberculosis,1,0,0,0,0,0
