ICD9,ICD9_Desc,Category,Category_Desc
006.8,Amebic infection NEC,A06,Amebiasis
006.9,Amebiasis NOS,A06,Amebiasis
007.0,Balantidiasis,A07,Other protozoal intestinal diseases
007.1,Giardiasis,A07,Other protozoal intestinal diseases
007.2,Coccidiosis,A07,Other protozoal intestinal diseases
007.3,Intest trichomoniasis,A07,Other protozoal intestinal diseases
007.4,Cryptosporidiosis,A07,Other protozoal intestinal diseases
007.5,Cyclosporiasis,A07,Other protozoal intestinal diseases
007.8,Protozoal intest dis NEC,A07,Other protozoal intestinal diseases
007.9,Protozoal intest dis NOS,A07,Other protozoal intestinal diseases
008.00,Intest infec e coli NOS,A04,Other bacterial intestinal infections
008.01,Int inf e coli entrpath,A04,Other bacterial intestinal infections
008.02,Int inf e coli entrtoxgn,A04,Other bacterial intestinal infections
008.03,Int inf e coli entrnvsv,A04,Other bacterial intestinal infections
008.04,Int inf e coli entrhmrg,A04,Other bacterial intestinal infections
008.09,Int inf e coli spcf NEC,A04,Other bacterial intestinal infections
008.1,Arizona enteritis,A04,Other bacterial intestinal infections
008.2,Aerobacter enteritis,A04,Other bacterial intestinal infections
008.3,Proteus enteritis,A04,Other bacterial intestinal infections
008.41,Staphylococc enteritis,A04,Other bacterial intestinal infections
008.42,Pseudomonas enteritis,A04,Other bacterial intestinal infections
008.43,Int infec campylobacter,A04,Other bacterial intestinal infections
008.44,Int inf yrsnia entrcltca,A04,Other bacterial intestinal infections
008.45,Int inf clstrdium dfcile,A04,Other bacterial intestinal infections
008.46,Intes infec oth anerobes,A04,Other bacterial intestinal infections
008.47,Int inf oth grm neg bctr,A04,Other bacterial intestinal infections
008.49,Bacterial enteritis NEC,A04,Other bacterial intestinal infections
008.5,Bacterial enteritis NOS,A04,Other bacterial intestinal infections
008.61,Intes infec rotavirus,A08,Viral and other specified intestinal infections
008.62,Intes infec adenovirus,A08,Viral and other specified intestinal infections
008.63,Int inf norwalk virus,A08,Viral and other specified intestinal infections
008.64,Int inf oth sml rnd vrus,A08,Viral and other specified intestinal infections
008.65,Enteritis d/t calicivirs,A08,Viral and other specified intestinal infections
008.66,Intes infec astrovirus,A08,Viral and other specified intestinal infections
008.67,Int inf enterovirus NEC,A08,Viral and other specified intestinal infections
008.69,Other viral intes infec,A08,Viral and other specified intestinal infections
008.8,Viral enteritis NOS,A08,Viral and other specified intestinal infections
009.0,Infectious enteritis NOS,A09,"Infectious gastroenteritis and colitis, unspecified"
009.1,Enteritis of infect orig,A09,"Infectious gastroenteritis and colitis, unspecified"
009.2,Infectious diarrhea NOS,A09,"Infectious gastroenteritis and colitis, unspecified"
009.3,Diarrhea of infect orig,A09,"Infectious gastroenteritis and colitis, unspecified"
010.00,Prim TB complex-unspec,A15,Respiratory tuberculosis
010.01,Prim TB complex-no exam,A15,Respiratory tuberculosis
010.02,Prim TB complex-exm unkn,A15,Respiratory tuberculosis
010.03,Prim TB complex-micro dx,A15,Respiratory tuberculosis
010.04,Prim TB complex-cult dx,A15,Respiratory tuberculosis
010.05,Prim TB complex-histo dx,A15,Respiratory tuberculosis
010.06,Prim TB complex-oth test,A15,Respiratory tuberculosis
010.10,Prim TB pleurisy-unspec,A15,Respiratory tuberculosis
010.11,Prim TB pleurisy-no exam,A15,Respiratory tuberculosis
010.12,Prim TB pleur-exam unkn,A15,Respiratory tuberculosis
010.13,Prim TB pleuris-micro dx,A15,Respiratory tuberculosis
010.14,Prim TB pleurisy-cult dx,A15,Respiratory tuberculosis
010.15,Prim TB pleuris-histo dx,A15,Respiratory tuberculosis
010.16,Prim TB pleuris-oth test,A15,Respiratory tuberculosis
010.80,Prim prog TB NEC-unspec,A15,Respiratory tuberculosis
010.81,Prim prog TB NEC-no exam,A15,Respiratory tuberculosis
010.82,Prim pr TB NEC-exam unkn,A15,Respiratory tuberculosis
010.83,Prim prg TB NEC-micro dx,A15,Respiratory tuberculosis
010.84,Prim prog TB NEC-cult dx,A15,Respiratory tuberculosis
010.85,Prim prg TB NEC-histo dx,A15,Respiratory tuberculosis
010.86,Prim prg TB NEC-oth test,A15,Respiratory tuberculosis
010.90,Primary TB NOS-unspec,A15,Respiratory tuberculosis
010.91,Primary TB NOS-no exam,A15,Respiratory tuberculosis
010.92,Primary TB NOS-exam unkn,A15,Respiratory tuberculosis
010.93,Primary TB NOS-micro dx,A15,Respiratory tuberculosis
010.94,Primary TB NOS-cult dx,A15,Respiratory tuberculosis
010.95,Primary TB NOS-histo dx,A15,Respiratory tuberculosis
010.96,Primary TB NOS-oth test,A15,Respiratory tuberculosis
011.00,TB lung infiltr-unspec,A15,Respiratory tuberculosis
011.01,TB lung infiltr-no exam,A15,Respiratory tuberculosis
011.02,TB lung infiltr-exm unkn,A15,Respiratory tuberculosis
011.03,TB lung infiltr-micro dx,A15,Respiratory tuberculosis
011.04,TB lung infiltr-cult dx,A15,Respiratory tuberculosis
011.05,TB lung infiltr-histo dx,A15,Respiratory tuberculosis
011.06,TB lung infiltr-oth test,A15,Respiratory tuberculosis
011.10,TB lung nodular-unspec,A15,Respiratory tuberculosis
011.11,TB lung nodular-no exam,A15,Respiratory tuberculosis
011.12,TB lung nodul-exam unkn,A15,Respiratory tuberculosis
011.13,TB lung nodular-micro dx,A15,Respiratory tuberculosis
011.14,TB lung nodular-cult dx,A15,Respiratory tuberculosis
011.15,TB lung nodular-histo dx,A15,Respiratory tuberculosis
011.16,TB lung nodular-oth test,A15,Respiratory tuberculosis
011.20,TB lung w cavity-unspec,A15,Respiratory tuberculosis
011.21,TB lung w cavity-no exam,A15,Respiratory tuberculosis
011.22,TB lung cavity-exam unkn,A15,Respiratory tuberculosis
011.23,TB lung w cavit-micro dx,A15,Respiratory tuberculosis
011.24,TB lung w cavity-cult dx,A15,Respiratory tuberculosis
011.25,TB lung w cavit-histo dx,A15,Respiratory tuberculosis
011.26,TB lung w cavit-oth test,A15,Respiratory tuberculosis
011.30,TB of bronchus-unspec,A15,Respiratory tuberculosis
011.31,TB of bronchus-no exam,A15,Respiratory tuberculosis
011.32,TB of bronchus-exam unkn,A15,Respiratory tuberculosis
011.33,TB of bronchus-micro dx,A15,Respiratory tuberculosis
011.34,TB of bronchus-cult dx,A15,Respiratory tuberculosis
011.35,TB of bronchus-histo dx,A15,Respiratory tuberculosis
011.36,TB of bronchus-oth test,A15,Respiratory tuberculosis
011.40,TB lung fibrosis-unspec,A15,Respiratory tuberculosis
011.41,TB lung fibrosis-no exam,A15,Respiratory tuberculosis
011.42,TB lung fibros-exam unkn,A15,Respiratory tuberculosis
011.43,TB lung fibros-micro dx,A15,Respiratory tuberculosis
011.44,TB lung fibrosis-cult dx,A15,Respiratory tuberculosis
011.45,TB lung fibros-histo dx,A15,Respiratory tuberculosis
011.46,TB lung fibros-oth test,A15,Respiratory tuberculosis
011.50,TB bronchiectasis-unspec,A15,Respiratory tuberculosis
011.51,TB bronchiect-no exam,A15,Respiratory tuberculosis
011.52,TB bronchiect-exam unkn,A15,Respiratory tuberculosis
011.53,TB bronchiect-micro dx,A15,Respiratory tuberculosis
011.54,TB bronchiect-cult dx,A15,Respiratory tuberculosis
011.55,TB bronchiect-histo dx,A15,Respiratory tuberculosis
011.56,TB bronchiect-oth test,A15,Respiratory tuberculosis
011.60,TB pneumonia-unspec,A15,Respiratory tuberculosis
011.61,TB pneumonia-no exam,A15,Respiratory tuberculosis
011.62,TB pneumonia-exam unkn,A15,Respiratory tuberculosis
011.63,TB pneumonia-micro dx,A15,Respiratory tuberculosis
011.64,TB pneumonia-cult dx,A15,Respiratory tuberculosis
011.65,TB pneumonia-histo dx,A15,Respiratory tuberculosis
011.66,TB pneumonia-oth test,A15,Respiratory tuberculosis
011.70,TB pneumothorax-unspec,A15,Respiratory tuberculosis
011.71,TB pneumothorax-no exam,A15,Respiratory tuberculosis
011.72,TB pneumothorx-exam unkn,A15,Respiratory tuberculosis
011.73,TB pneumothorax-micro dx,A15,Respiratory tuberculosis
011.74,TB pneumothorax-cult dx,A15,Respiratory tuberculosis
011.75,TB pneumothorax-histo dx,A15,Respiratory tuberculosis
011.76,TB pneumothorax-oth test,A15,Respiratory tuberculosis
011.80,Pulmonary TB NEC-unspec,A15,Respiratory tuberculosis
011.81,Pulmonary TB NEC-no exam,A15,Respiratory tuberculosis
011.82,Pulmon TB NEC-exam unkn,A15,Respiratory tuberculosis
011.83,Pulmon TB NEC-micro dx,A15,Respiratory tuberculosis
011.84,Pulmon TB NEC-cult dx,A15,Respiratory tuberculosis
011.85,Pulmon TB NEC-histo dx,A15,Respiratory tuberculosis
011.86,Pulmon TB NEC-oth test,A15,Respiratory tuberculosis
011.90,Pulmonary TB NOS-unspec,A15,Respiratory tuberculosis
011.91,Pulmonary TB NOS-no exam,A15,Respiratory tuberculosis
011.92,Pulmon TB NOS-exam unkn,A15,Respiratory tuberculosis
011.93,Pulmon TB NOS-micro dx,A15,Respiratory tuberculosis
011.94,Pulmon TB NOS-cult dx,A15,Respiratory tuberculosis
011.95,Pulmon TB NOS-histo dx,A15,Respiratory tuberculosis
011.96,Pulmon TB NOS-oth test,A15,Respiratory tuberculosis
012.00,TB pleurisy-unspec,A15,Respiratory tuberculosis
012.01,TB pleurisy-no exam,A15,Respiratory tuberculosis
012.02,TB pleurisy-exam unkn,A15,Respiratory tuberculosis
012.03,TB pleurisy-micro dx,A15,Respiratory tuberculosis
012.04,TB pleurisy-cult dx,A15,Respiratory tuberculosis
012.05,TB pleurisy-histolog dx,A15,Respiratory tuberculosis
012.06,TB pleurisy-oth test,A15,Respiratory tuberculosis
012.10,TB thoracic nodes-unspec,A15,Respiratory tuberculosis
012.11,TB thorax node-no exam,A15,Respiratory tuberculosis
012.12,TB thorax node-exam unkn,A15,Respiratory tuberculosis
012.13,TB thorax node-micro dx,A15,Respiratory tuberculosis
012.14,TB thorax node-cult dx,A15,Respiratory tuberculosis
012.15,TB thorax node-histo dx,A15,Respiratory tuberculosis
012.16,TB thorax node-oth test,A15,Respiratory tuberculosis
012.20,Isol tracheal tb-unspec,A15,Respiratory tuberculosis
012.21,Isol tracheal tb-no exam,A15,Respiratory tuberculosis
012.22,Isol trach tb-exam unkn,A15,Respiratory tuberculosis
012.23,Isolat trach tb-micro dx,A15,Respiratory tuberculosis
012.24,Isol tracheal tb-cult dx,A15,Respiratory tuberculosis
012.25,Isolat trach tb-histo dx,A15,Respiratory tuberculosis
012.26,Isolat trach tb-oth test,A15,Respiratory tuberculosis
012.30,TB laryngitis-unspec,A15,Respiratory tuberculosis
012.31,TB laryngitis-no exam,A15,Respiratory tuberculosis
012.32,TB laryngitis-exam unkn,A15,Respiratory tuberculosis
012.33,TB laryngitis-micro dx,A15,Respiratory tuberculosis
012.34,TB laryngitis-cult dx,A15,Respiratory tuberculosis
012.35,TB laryngitis-histo dx,A15,Respiratory tuberculosis
012.36,TB laryngitis-oth test,A15,Respiratory tuberculosis
012.80,Resp TB NEC-unspec,A15,Respiratory tuberculosis
012.81,Resp TB NEC-no exam,A15,Respiratory tuberculosis
012.82,Resp TB NEC-exam unkn,A15,Respiratory tuberculosis
012.83,Resp TB NEC-micro dx,A15,Respiratory tuberculosis
012.84,Resp TB NEC-cult dx,A15,Respiratory tuberculosis
012.85,Resp TB NEC-histo dx,A15,Respiratory tuberculosis
012.86,Resp TB NEC-oth test,A15,Respiratory tuberculosis
013.00,TB meningitis-unspec,A17,Tuberculosis of nervous system
013.01,TB meningitis-no exam,A17,Tuberculosis of nervous system
013.02,TB meningitis-exam unkn,A17,Tuberculosis of nervous system
013.03,TB meningitis-micro dx,A17,Tuberculosis of nervous system
013.04,TB meningitis-cult dx,A17,Tuberculosis of nervous system
013.05,TB meningitis-histo dx,A17,Tuberculosis of nervous system
013.06,TB meningitis-oth test,A17,Tuberculosis of nervous system
013.10,Tubrclma meninges-unspec,A17,Tuberculosis of nervous system
013.11,Tubrclma mening-no exam,A17,Tuberculosis of nervous system
013.12,Tubrclma menin-exam unkn,A17,Tuberculosis of nervous system
013.13,Tubrclma mening-micro dx,A17,Tuberculosis of nervous system
013.14,Tubrclma mening-cult dx,A17,Tuberculosis of nervous system
013.15,Tubrclma mening-histo dx,A17,Tuberculosis of nervous system
013.16,Tubrclma mening-oth test,A17,Tuberculosis of nervous system
013.20,Tuberculoma brain-unspec,A17,Tuberculosis of nervous system
013.21,Tubrcloma brain-no exam,A17,Tuberculosis of nervous system
013.22,Tubrclma brain-exam unkn,A17,Tuberculosis of nervous system
013.23,Tubrcloma brain-micro dx,A17,Tuberculosis of nervous system
013.24,Tubrcloma brain-cult dx,A17,Tuberculosis of nervous system
013.25,Tubrcloma brain-histo dx,A17,Tuberculosis of nervous system
013.26,Tubrcloma brain-oth test,A17,Tuberculosis of nervous system
013.30,TB brain abscess-unspec,A17,Tuberculosis of nervous system
013.31,TB brain abscess-no exam,A17,Tuberculosis of nervous system
013.32,TB brain absc-exam unkn,A17,Tuberculosis of nervous system
013.33,TB brain absc-micro dx,A17,Tuberculosis of nervous system
013.34,TB brain abscess-cult dx,A17,Tuberculosis of nervous system
013.35,TB brain absc-histo dx,A17,Tuberculosis of nervous system
013.36,TB brain absc-oth test,A17,Tuberculosis of nervous system
013.40,Tubrclma sp cord-unspec,A17,Tuberculosis of nervous system
013.41,Tubrclma sp cord-no exam,A17,Tuberculosis of nervous system
013.42,Tubrclma sp cd-exam unkn,A17,Tuberculosis of nervous system
013.43,Tubrclma sp crd-micro dx,A17,Tuberculosis of nervous system
013.44,Tubrclma sp cord-cult dx,A17,Tuberculosis of nervous system
013.45,Tubrclma sp crd-histo dx,A17,Tuberculosis of nervous system
013.46,Tubrclma sp crd-oth test,A17,Tuberculosis of nervous system
013.50,TB sp crd abscess-unspec,A17,Tuberculosis of nervous system
013.51,TB sp crd absc-no exam,A17,Tuberculosis of nervous system
013.52,TB sp crd absc-exam unkn,A17,Tuberculosis of nervous system
013.53,TB sp crd absc-micro dx,A17,Tuberculosis of nervous system
013.54,TB sp crd absc-cult dx,A17,Tuberculosis of nervous system
013.55,TB sp crd absc-histo dx,A17,Tuberculosis of nervous system
013.56,TB sp crd absc-oth test,A17,Tuberculosis of nervous system
013.60,TB encephalitis-unspec,A17,Tuberculosis of nervous system
013.61,TB encephalitis-no exam,A17,Tuberculosis of nervous system
013.62,TB encephalit-exam unkn,A17,Tuberculosis of nervous system
013.63,TB encephalitis-micro dx,A17,Tuberculosis of nervous system
013.64,TB encephalitis-cult dx,A17,Tuberculosis of nervous system
013.65,TB encephalitis-histo dx,A17,Tuberculosis of nervous system
013.66,TB encephalitis-oth test,A17,Tuberculosis of nervous system
013.80,Cns TB NEC-unspec,A17,Tuberculosis of nervous system
013.81,Cns TB NEC-no exam,A17,Tuberculosis of nervous system
013.82,Cns TB NEC-exam unkn,A17,Tuberculosis of nervous system
013.83,Cns TB NEC-micro dx,A17,Tuberculosis of nervous system
013.84,Cns TB NEC-cult dx,A17,Tuberculosis of nervous system
013.85,Cns TB NEC-histo dx,A17,Tuberculosis of nervous system
013.86,Cns TB NEC-oth test,A17,Tuberculosis of nervous system
013.90,Cns TB NOS-unspec,A17,Tuberculosis of nervous system
013.91,Cns TB NOS-no exam,A17,Tuberculosis of nervous system
013.92,Cns TB NOS-exam unkn,A17,Tuberculosis of nervous system
013.93,Cns TB NOS-micro dx,A17,Tuberculosis of nervous system
013.94,Cns TB NOS-cult dx,A17,Tuberculosis of nervous system
013.95,Cns TB NOS-histo dx,A17,Tuberculosis of nervous system
013.96,Cns TB NOS-oth test,A17,Tuberculosis of nervous system
014.00,TB peritonitis-unspec,A18,Tuberculosis of other organs
014.01,TB peritonitis-no exam,A18,Tuberculosis of other organs
014.02,TB peritonitis-exam unkn,A18,Tuberculosis of other organs
014.03,TB peritonitis-micro dx,A18,Tuberculosis of other organs
014.04,TB peritonitis-cult dx,A18,Tuberculosis of other organs
014.05,TB peritonitis-histo dx,A18,Tuberculosis of other organs
014.06,TB peritonitis-oth test,A18,Tuberculosis of other organs
014.80,Intestinal TB NEC-unspec,A18,Tuberculosis of other organs
014.81,Intestin TB NEC-no exam,A18,Tuberculosis of other organs
014.82,Intest TB NEC-exam unkn,A18,Tuberculosis of other organs
014.83,Intestin TB NEC-micro dx,A18,Tuberculosis of other organs
014.84,Intestin TB NEC-cult dx,A18,Tuberculosis of other organs
014.85,Intestin TB NEC-histo dx,A18,Tuberculosis of other organs
014.86,Intestin TB NEC-oth test,A18,Tuberculosis of other organs
015.00,TB of vertebra-unspec,A18,Tuberculosis of other organs
015.01,TB of vertebra-no exam,A18,Tuberculosis of other organs
015.02,TB of vertebra-exam unkn,A18,Tuberculosis of other organs
015.03,TB of vertebra-micro dx,A18,Tuberculosis of other organs
015.04,TB of vertebra-cult dx,A18,Tuberculosis of other organs
015.05,TB of vertebra-histo dx,A18,Tuberculosis of other organs
015.06,TB of vertebra-oth test,A18,Tuberculosis of other organs
015.10,TB of hip-unspec,A18,Tuberculosis of other organs
015.11,TB of hip-no exam,A18,Tuberculosis of other organs
015.12,TB of hip-exam unkn,A18,Tuberculosis of other organs
015.13,TB of hip-micro dx,A18,Tuberculosis of other organs
015.14,TB of hip-cult dx,A18,Tuberculosis of other organs
015.15,TB of hip-histo dx,A18,Tuberculosis of other organs
015.16,TB of hip-oth test,A18,Tuberculosis of other organs
015.20,TB of knee-unspec,A18,Tuberculosis of other organs
015.21,TB of knee-no exam,A18,Tuberculosis of other organs
015.22,TB of knee-exam unkn,A18,Tuberculosis of other organs
015.23,TB of knee-micro dx,A18,Tuberculosis of other organs
015.24,TB of knee-cult dx,A18,Tuberculosis of other organs
015.25,TB of knee-histo dx,A18,Tuberculosis of other organs
015.26,TB of knee-oth test,A18,Tuberculosis of other organs
015.50,TB of limb bones-unspec,A18,Tuberculosis of other organs
015.51,TB limb bones-no exam,A18,Tuberculosis of other organs
015.52,TB limb bones-exam unkn,A18,Tuberculosis of other organs
015.53,TB limb bones-micro dx,A18,Tuberculosis of other organs
015.54,TB limb bones-cult dx,A18,Tuberculosis of other organs
015.55,TB limb bones-histo dx,A18,Tuberculosis of other organs
015.56,TB limb bones-oth test,A18,Tuberculosis of other organs
015.60,TB of mastoid-unspec,A18,Tuberculosis of other organs
015.61,TB of mastoid-no exam,A18,Tuberculosis of other organs
015.62,TB of mastoid-exam unkn,A18,Tuberculosis of other organs
015.63,TB of mastoid-micro dx,A18,Tuberculosis of other organs
015.64,TB of mastoid-cult dx,A18,Tuberculosis of other organs
015.65,TB of mastoid-histo dx,A18,Tuberculosis of other organs
015.66,TB of mastoid-oth test,A18,Tuberculosis of other organs
015.70,TB of bone NEC-unspec,A18,Tuberculosis of other organs
015.71,TB of bone NEC-no exam,A18,Tuberculosis of other organs
015.72,TB of bone NEC-exam unkn,A18,Tuberculosis of other organs
015.73,TB of bone NEC-micro dx,A18,Tuberculosis of other organs
015.74,TB of bone NEC-cult dx,A18,Tuberculosis of other organs
015.75,TB of bone NEC-histo dx,A18,Tuberculosis of other organs
015.76,TB of bone NEC-oth test,A18,Tuberculosis of other organs
015.80,TB of joint NEC-unspec,A18,Tuberculosis of other organs
015.81,TB of joint NEC-no exam,A18,Tuberculosis of other organs
015.82,TB joint NEC-exam unkn,A18,Tuberculosis of other organs
015.83,TB of joint NEC-micro dx,A18,Tuberculosis of other organs
015.84,TB of joint NEC-cult dx,A18,Tuberculosis of other organs
015.85,TB of joint NEC-histo dx,A18,Tuberculosis of other organs
015.86,TB of joint NEC-oth test,A18,Tuberculosis of other organs
015.90,TB bone/joint NOS-unspec,A18,Tuberculosis of other organs
015.91,TB bone/jt NOS-no exam,A18,Tuberculosis of other organs
015.92,TB bone/jt NOS-exam unkn,A18,Tuberculosis of other organs
015.93,TB bone/jt NOS-micro dx,A18,Tuberculosis of other organs
015.94,TB bone/jt NOS-cult dx,A18,Tuberculosis of other organs
015.95,TB bone/jt NOS-histo dx,A18,Tuberculosis of other organs
015.96,TB bone/jt NOS-oth test,A18,Tuberculosis of other organs
016.00,TB of kidney-unspec,A18,Tuberculosis of other organs
016.01,TB of kidney-no exam,A18,Tuberculosis of other organs
016.02,TB of kidney-exam unkn,A18,Tuberculosis of other organs
016.03,TB of kidney-micro dx,A18,Tuberculosis of other organs
016.04,TB of kidney-cult dx,A18,Tuberculosis of other organs
016.05,TB of kidney-histo dx,A18,Tuberculosis of other organs
016.06,TB of kidney-oth test,A18,Tuberculosis of other organs
016.10,TB of bladder-unspec,A18,Tuberculosis of other organs
016.11,TB of bladder-no exam,A18,Tuberculosis of other organs
016.12,TB of bladder-exam unkn,A18,Tuberculosis of other organs
016.13,TB of bladder-micro dx,A18,Tuberculosis of other organs
016.14,TB of bladder-cult dx,A18,Tuberculosis of other organs
016.15,TB of bladder-histo dx,A18,Tuberculosis of other organs
016.16,TB of bladder-oth test,A18,Tuberculosis of other organs
016.20,TB of ureter-unspec,A18,Tuberculosis of other organs
016.21,TB of ureter-no exam,A18,Tuberculosis of other organs
016.22,TB of ureter-exam unkn,A18,Tuberculosis of other organs
016.23,TB of ureter-micro dx,A18,Tuberculosis of other organs
016.24,TB of ureter-cult dx,A18,Tuberculosis of other organs
016.25,TB of ureter-histo dx,A18,Tuberculosis of other organs
016.26,TB of ureter-oth test,A18,Tuberculosis of other organs
016.30,TB urinary NEC-unspec,A18,Tuberculosis of other organs
016.31,TB urinary NEC-no exam,A18,Tuberculosis of other organs
016.32,TB urinary NEC-exam unkn,A18,Tuberculosis of other organs
016.33,TB urinary NEC-micro dx,A18,Tuberculosis of other organs
016.34,TB urinary NEC-cult dx,A18,Tuberculosis of other organs
016.35,TB urinary NEC-histo dx,A18,Tuberculosis of other organs
016.36,TB urinary NEC-oth test,A18,Tuberculosis of other organs
016.40,TB epididymis-unspec,A18,Tuberculosis of other organs
016.41,TB epididymis-no exam,A18,Tuberculosis of other organs
016.42,TB epididymis-exam unkn,A18,Tuberculosis of other organs
016.43,TB epididymis-micro dx,A18,Tuberculosis of other organs
016.44,TB epididymis-cult dx,A18,Tuberculosis of other organs
016.45,TB epididymis-histo dx,A18,Tuberculosis of other organs
016.46,TB epididymis-oth test,A18,Tuberculosis of other organs
016.50,TB male genit NEC-unspec,A18,Tuberculosis of other organs
016.51,TB male gen NEC-no exam,A18,Tuberculosis of other organs
016.52,TB male gen NEC-ex unkn,A18,Tuberculosis of other organs
016.53,TB male gen NEC-micro dx,A18,Tuberculosis of other organs
016.54,TB male gen NEC-cult dx,A18,Tuberculosis of other organs
016.55,TB male gen NEC-histo dx,A18,Tuberculosis of other organs
016.56,TB male gen NEC-oth test,A18,Tuberculosis of other organs
016.60,TB ovary & tube-unspec,A18,Tuberculosis of other organs
016.61,TB ovary & tube-no exam,A18,Tuberculosis of other organs
016.62,TB ovary/tube-exam unkn,A18,Tuberculosis of other organs
016.63,TB ovary & tube-micro dx,A18,Tuberculosis of other organs
016.64,TB ovary & tube-cult dx,A18,Tuberculosis of other organs
016.65,TB ovary & tube-histo dx,A18,Tuberculosis of other organs
016.66,TB ovary & tube-oth test,A18,Tuberculosis of other organs
016.70,TB female gen NEC-unspec,A18,Tuberculosis of other organs
016.71,TB fem gen NEC-no exam,A18,Tuberculosis of other organs
016.72,TB fem gen NEC-exam unkn,A18,Tuberculosis of other organs
016.73,TB fem gen NEC-micro dx,A18,Tuberculosis of other organs
016.74,TB fem gen NEC-cult dx,A18,Tuberculosis of other organs
016.75,TB fem gen NEC-histo dx,A18,Tuberculosis of other organs
016.76,TB fem gen NEC-oth test,A18,Tuberculosis of other organs
016.90,Gu TB NOS-unspec,A18,Tuberculosis of other organs
016.91,Gu TB NOS-no exam,A18,Tuberculosis of other organs
016.92,Gu TB NOS-exam unkn,A18,Tuberculosis of other organs
016.93,Gu TB NOS-micro dx,A18,Tuberculosis of other organs
016.94,Gu TB NOS-cult dx,A18,Tuberculosis of other organs
016.95,Gu TB NOS-histo dx,A18,Tuberculosis of other organs
016.96,Gu TB NOS-oth test,A18,Tuberculosis of other organs
017.00,TB skin/subcutan-unspec,A18,Tuberculosis of other organs
017.01,TB skin/subcut-no exam,A18,Tuberculosis of other organs
017.02,TB skin/subcut-exam unkn,A18,Tuberculosis of other organs
017.03,TB skin/subcut-micro dx,A18,Tuberculosis of other organs
017.04,TB skin/subcut-cult dx,A18,Tuberculosis of other organs
017.05,TB skin/subcut-histo dx,A18,Tuberculosis of other organs
017.06,TB skin/subcut-oth test,A18,Tuberculosis of other organs
017.10,Erythema nodos tb-unspec,A18,Tuberculosis of other organs
017.11,Erythem nodos tb-no exam,A18,Tuberculosis of other organs
017.12,Erythem nod tb-exam unkn,A18,Tuberculosis of other organs
017.13,Erythem nod tb-micro dx,A18,Tuberculosis of other organs
017.14,Erythem nodos tb-cult dx,A18,Tuberculosis of other organs
017.15,Erythem nod tb-histo dx,A18,Tuberculosis of other organs
017.16,Erythem nod tb-oth test,A18,Tuberculosis of other organs
017.20,TB periph lymph-unspec,A18,Tuberculosis of other organs
017.21,TB periph lymph-no exam,A18,Tuberculosis of other organs
017.22,TB periph lymph-exam unk,A18,Tuberculosis of other organs
017.23,TB periph lymph-micro dx,A18,Tuberculosis of other organs
017.24,TB periph lymph-cult dx,A18,Tuberculosis of other organs
017.25,TB periph lymph-histo dx,A18,Tuberculosis of other organs
017.26,TB periph lymph-oth test,A18,Tuberculosis of other organs
017.30,TB of eye-unspec,A18,Tuberculosis of other organs
017.31,TB of eye-no exam,A18,Tuberculosis of other organs
